LACT,ai1_DIM,outcome1AI,tmsbred,pregnancy_DIM,ABORT,INDGST,INJURY,KETOSIS,lame,LDA,MAST,MET,MFEVER,PYO,PNEU,rtp,calvBCS,milkavg30,milkavg60,milkavg100,nadirDIM,nadirBCS,disease_events,milkmonth1,milkmonth2,milkmonth3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,60,1,2,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.5,78.94,95.38,104.53,74,3.1,0,78.941,111.824,121.363,3.4333333333333336,3.533333333333333,3.5666666666666664,3.533333333333333,3.5666666666666664,3.5666666666666664,3.6,3.6,3.6333333333333333,3.6,3.5666666666666664,3.533333333333333,3.533333333333333,3.533333333333333,3.5666666666666664,3.4666666666666663,3.4666666666666663,3.4333333333333336,3.4333333333333336,3.4333333333333336,3.4333333333333336,3.4333333333333336,3.4,3.4,3.3666666666666667,3.3666666666666667,3.3666666666666667,3.4,3.5,3.5,3.5,3.5,3.45,3.45,3.5,3.5,3.5,3.5,3.45,3.45,3.5,3.5,3.5,3.4,3.45,3.45,3.45,3.45,3.4,3.45,3.4,3.4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.3,3.3,3.3,3.3,3.3,3.3,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.266666666666667,3.266666666666667,3.266666666666667,3.266666666666667,3.266666666666667,3.266666666666667,3.233333333333333,3.233333333333333,3.266666666666667,3.266666666666667,3.233333333333333,3.1500000000000004,3.1,3.1,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.2,3.2,3.2,3.2,3.2,3.1500000000000004,3.1500000000000004,3.2,3.1500000000000004,3.2,3.25,3.25,3.25
3,80,1,2,80.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.51,110.15,117.37,116.32,24,3.1,0,110.147,124.338,115.88,3.4,3.48157,3.4252825,3.4566850000000002,3.4750034999999997,3.4664919999999997,3.462431,3.4618765,3.453888,3.4383109999999997,3.45,3.4,3.4,3.4,3.4,3.4,3.4,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3,3.3,3.25,3.259158,3.2828705,3.286911,3.2796969999999996,3.282895,3.2871335,3.300682,3.3416365,3.342878,3.3169005,3.3168695,3.308055,3.3167264999999997,3.312424,3.367788,3.3615805,3.4,3.4,3.35,3.35,3.35,3.35,3.35,3.3,3.3,3.3,3.35,3.45,3.5,3.5,3.45,3.5,3.5,3.45,3.45,3.45,3.45,3.4,3.4,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.5,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4
4,60,1,1,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.3,104.6,114.11,121.12,61,2.8,0,104.597,125.788,139.995,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.1,,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.0,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.35,3.35,3.35,3.35,3.35,3.5
1,80,0,4,183.0,0.0,1,0,0,1,0,0,0,0,0,0,0,3.4,66.96,73.6,77.3,61,2.94,1,66.963,80.467,82.509,,,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.941715,2.963215,2.977445,2.965926,3.015611,3.024131,2.987506,2.979813,3.022452,3.009608,3.030188,3.031842,3.015087,3.013588,3.015798,3.046951,3.0,3.0,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.062661,3.065685,3.072809,3.063981,3.11659,3.137725,3.156587,3.076637,3.050234
2,73,0,6,147.0,0.0,0,0,0,0,0,0,1,0,1,0,0,3.5,78.33,89.95,91.23,32,3.1,1,78.333,101.967,92.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.65,3.55,3.5,3.55,3.5999999999999996,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.55,3.55,3.5,3.5,3.5,3.5,3.6500000000000004,3.7,3.7,3.75,3.7,3.75,3.75,3.75,3.75,3.65,3.65,3.65,3.7,3.6500000000000004,3.6500000000000004,3.6500000000000004,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
3,83,1,2,83.0,0.0,0,0,1,0,0,1,0,0,1,0,0,3.17,77.07,88.56,92.05,36,2.5,2,77.07,100.45,99.11,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.6,2.5,2.6,2.5,2.6,2.5,2.6,2.6,2.5,2.6,2.5,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8
3,60,0,6,84.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.2,77.34,82.01,85.93,19,3.0,0,77.344,86.522,94.423,,3.2,3.1500000000000004,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.25,3.2,3.2,3.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1,3.05,3.05,3.05,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.0,2.9,2.9,3.0,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.05,3.05,3.05,3.05,3.1,3.1,3.1,3.1,3.1,3.15,3.2,3.2,3.1,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.2,3.2,3.2,3.2,3.2,3.1,3.1500000000000004,3.2,3.1500000000000004
3,73,0,4,93.0,0.0,1,0,0,0,0,0,1,0,1,0,1,3.7,70.66,92.7,102.95,43,2.9,2,70.658,115.501,119.329,3.6,3.6500000000000004,3.6,3.55,3.55,3.5,3.5,3.55,3.55,3.5,3.5,3.55,3.5,3.5,3.5,3.5,3.45,3.4,3.4,3.25,3.25,3.2,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.05,3.05,3.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.3,3.3,3.2,3.3,3.2,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.1,3.1,3.2,3.2,3.2,3.3,3.2,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.05
3,64,0,3,117.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.43,112.68,130.13,133.83,35,2.8,0,112.683,147.572,140.062,3.4,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,,2.8,2.9,3.0,3.0,3.0,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3,70,1,1,70.0,0.0,1,0,0,0,0,1,0,0,0,0,0,3.5,97.18,109.29,115.88,59,2.9,1,97.18,121.8,126.732,,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.4,3.5,3.3,,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.05,3.1,3.1,3.15,3.1,3.15,3.15,3.15,3.15,3.1,3.1,3.15,3.15,3.15,3.15,3.0,3.0999999999999996,3.05,3.05,3.1,3.05,3.05,3.1,3.1,3.05,3.1,3.05,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.937143,2.942369,3.1694449999999996,3.1722925,3.161571,3.1654505,3.1699205,3.1720235,3.1699715,3.1742435,3.1817025
