LACT,ai1_DIM,outcome1AI,tmsbred,pregnancy_DIM,ABORT,INDGST,INJURY,KETOSIS,lame,LDA,MAST,MET,MFEVER,PYO,PNEU,rtp,calvBCS,milkavg30,milkavg60,milkavg100,nadirDIM,nadirBCS,disease_events,milkmonth1,milkmonth2,milkmonth3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,60,0,6,194.0,1.0,0,0,0,0,0,1,0,0,0,0,1,2.83,63.74,77.16,85.47,34,2.3,1,63.744,91.497,98.473,,3.1,3.4,3.3,3.3,3.3,3.4,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.3,3.3,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
2,71,1,1,71.0,0.0,0,0,0,1,0,0,0,0,0,0,0,3.4,82.39,95.97,100.99,43,3.1,1,82.389,110.027,110.372,,3.4,3.4,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
1,80,1,1,80.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.38,47.55,56.34,62.35,26,3.2,1,47.551,65.129,75.516,3.33399,3.0457035,3.36435,3.43865,3.5,3.5,3.5,3.5,3.5,3.6,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.3,3.3499999999999996,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.3499999999999996,3.4,3.4,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.3,3.3,3.3,3.3,3.3,3.25,3.3499999999999996,3.3499999999999996,3.3,3.3499999999999996,3.3,3.25,3.25,3.4,3.4,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,3.3,3.3,3.3,3.3,3.3,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.4,3.4,3.4,3.4,3.4,3.4,3.45,3.45,3.45,3.45
3,70,1,5,70.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.1,86.17,104.39,111.58,38,2.7,0,86.171,123.211,123.496,,3.0,3.05,3.05,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.05,3.05,3.05,3.0,3.0,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,3.0,3.0,2.9,2.85,2.85,2.85,2.7,2.85,2.85,2.85,2.8,2.8,2.8,2.8,2.75,2.75,2.6500000000000004,2.7,2.75,2.75,2.75,2.8,2.8,2.8,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8,2.8,2.8,2.8,2.8,2.8499999999999996,2.8499999999999996,2.9,2.9,2.8,2.75,2.75,2.75,2.75,2.75,2.8,2.8,2.8499999999999996,2.8499999999999996,2.9,2.9,2.8499999999999996,2.9,2.8499999999999996,2.8,2.8,2.8499999999999996,2.9,2.8,2.8,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.9,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.85,2.9,2.9,2.8499999999999996
2,60,1,1,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.2,93.14,98.29,111.21,58,2.9,1,93.137,116.681,121.899,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.2,3.25,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,,,
3,94,1,2,94.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.4,84.7,97.08,101.33,48,2.8,1,84.697,109.47,110.3,3.1,3.3,3.3,3.3,3.3,3.25,3.2,3.2,3.2,3.2,3.2,3.15,3.15,3.15,3.1,3.1,3.1,3.1,3.1,3.0341365,3.0302065000000002,3.0190915,3.0190915,2.9908475,2.975428,3.0005695,3.0007925,2.9373765,2.9373765,2.9388715000000003,2.931639,2.9410344999999998,2.9541335,2.937743,2.9014465,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.95,2.9,2.8499999999999996,2.8780345,2.8668815,2.8548285,2.874519,2.8957995,2.862515,2.869894,2.8726209999999996,2.8748769999999997,2.869192,2.8911135,2.869115,2.848612,2.852245,2.8549525,2.8520589999999997,2.8499999999999996,2.8499999999999996,2.8,2.8,2.8,2.8,2.8,2.8499999999999996,2.8499999999999996,2.9,2.9,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8,2.8,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.9,2.9,2.9,2.9,2.9
1,80,1,3,80.0,1.0,0,0,0,1,0,0,0,0,0,0,0,3.2,43.46,66.74,72.97,0,2.8,0,43.461,76.438,78.253,2.8,3.3,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,60,1,15,367.0,1.0,0,0,0,1,0,1,0,0,1,0,0,3.0,102.59,102.57,109.37,69,2.9,1,102.589,102.513,117.194,,,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,3.0,3.0,2.9,3.0,2.9,2.9,2.9,2.9,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,,
1,156,1,2,156.0,0.0,0,0,0,0,0,0,1,0,1,0,0,3.37,46.76,56.95,60.68,33,2.8,1,46.761,67.486,63.19,,3.4,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,,,,,,,,,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.3
3,60,1,7,60.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.05,92.64,104.24,110.11,1,3.0,0,92.636,115.851,117.904,,3.0,3.05,3.4,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.45,3.5,3.35,3.0,3.1,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.3,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3,3.25,3.4,3.4,3.2,3.25,3.2,3.15,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.25,3.25,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.25,3.2,3.2,3.2,3.25,3.25,3.2,3.2,3.2,3.2,3.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.2,3.2,3.25,3.25,3.25,3.25,3.25,3.25
